run,oscillation,final_success,group
grpo_s1_tbs16_vbs16_gs8_lr5e6_ec0.001_smTrue_masktoken_min0_max2.0_pen0.05,0.10262053500425315,0.75,baseline
grpo_s0_tbs16_vbs16_gs8_lr5e6_ec0.001_es_chosen,0.14591562882219244,0.6875,EPO
grpo_s1_tbs16_vbs16_gs8_lr5e6_ec0.001_smTrue_masktoken_min0_max2.0_pen0.1,0.11128725536598282,0.6875,baseline
grpo_s2_tbs16_vbs16_gs8_lr5e6_ec0.001_es_chosen,0.13577921354869787,0.875,EPO
grpo_s0_tbs16_vbs16_gs8_lr5e6_ec0.001_smTrue_masktoken_min0_max2.0_pen0.1_sw,0.12953689324415513,0.75,baseline
grpo_s2_tbs16_vbs16_gs8_lr5e6_ec0.001_smTrue_masktoken_min0_max2.0_pen0.1_sw,0.05599515185993856,0.375,baseline
grpo_s2_tbs16_vbs16_gs8_lr5e6_ec0.001_smTrue_masktoken_min0_max2.0_pen0.1_sw,0.12390823981512858,0.3125,baseline
grpo_s1_tbs16_vbs16_gs8_lr5e6_ec0.001_smTrue_masktoken_min0_max2.0_pen0.1_sw,0.1156804653162611,0.8125,baseline
grpo_s2_tb16_vb16_gs8_lr5e6_ec0.001_es_sw,0.12012886190967698,0.875,EPO
grpo_s1_tb16_vb16_gs8_lr5e6_ec0.001_es,0.10932875725078975,0.6875,EPO
grpo_s0_tb16_vb16_gs8_lr5e6_ec0,0.09981342189464311,0.75,baseline
grpo_s1_tb16_vb16_gs8_lr5e6_ec0.001_chosen,0.1157971944601195,0.875,baseline
grpo_s1_tb16_vb16_gs8_lr5e6_ec0.001_es,0.13275792261537128,0.8125,EPO
grpo_s1_tb16_vb16_gs8_lr5e6_ec0.001_es_chosen,0.14148252278898088,0.625,EPO
grpo_s1_tb16_vb16_gs8_lr5e6_ec0.001_es0.1,0.0963486599768739,0.8125,EPO
grpo_s2_tb16_vb16_gs8_lr5e6_ec0.001_es1.0_sw,0.12669388301787082,0.8125,EPO
grpo_s2_tb16_vb16_gs8_lr5e6_ec0.001_es1.0_sw,0.11560629963202057,0.625,EPO
grpo_s1_tb16_vb16_gs8_lr5e6_ec0,0.11237363217708249,0.5625,baseline
